"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
18.250,1.40970E-4,500,0.13
18.300,1.40970E-4,500,0.00
18.350,1.40970E-4,501,0.00
18.400,1.40970E-4,501,0.00
18.450,1.40970E-4,501,0.00
18.500,1.40970E-4,502,0.00
18.550,1.40970E-4,501,0.00
18.600,1.40970E-4,502,0.00
18.650,1.40970E-4,502,0.00
18.700,1.40970E-4,502,0.13
18.750,1.40970E-4,502,0.25
18.800,1.41605E-4,502,0.25
18.850,1.41605E-4,502,0.13
18.900,1.41605E-4,503,0.00
18.950,1.41605E-4,503,0.00
19.000,1.41605E-4,504,0.00
19.050,1.41605E-4,504,0.13
19.100,1.41605E-4,505,0.25
19.150,1.42240E-4,505,0.25
19.200,1.42240E-4,506,0.25
19.250,1.42240E-4,507,0.25
19.300,1.42875E-4,508,0.38
19.350,1.42875E-4,510,0.38
19.400,1.43510E-4,511,0.38
19.450,1.43510E-4,514,0.38
19.500,1.44145E-4,515,0.38
19.550,1.44145E-4,517,0.38
19.600,1.44780E-4,518,0.25
19.650,1.44780E-4,519,0.13
19.700,1.44780E-4,519,0.13
19.750,1.44780E-4,521,0.25
19.800,1.45415E-4,522,0.25
19.850,1.45415E-4,522,0.25
19.900,1.45415E-4,523,0.25
19.950,1.46050E-4,524,0.25
20.000,1.46050E-4,525,0.13
20.050,1.46050E-4,526,0.13
20.100,1.46050E-4,526,0.25
20.150,1.46685E-4,527,0.25
20.200,1.46685E-4,528,0.25
20.250,1.46685E-4,529,0.25
20.300,1.47320E-4,530,0.38
20.350,1.47320E-4,532,0.38
20.400,1.47955E-4,535,0.38
20.450,1.47955E-4,536,0.38
20.500,1.48590E-4,536,0.25
20.550,1.48590E-4,537,0.25
20.600,1.48590E-4,538,0.25
20.650,1.49225E-4,539,0.25
20.700,1.49225E-4,540,0.13
20.750,1.49225E-4,540,0.00
20.800,1.49225E-4,541,0.13
20.850,1.49225E-4,541,0.25
20.900,1.49860E-4,542,0.25
20.950,1.49860E-4,542,0.13
21.000,1.49860E-4,543,0.00
21.050,1.49860E-4,543,0.13
21.100,1.49860E-4,543,0.25
21.150,1.50495E-4,545,0.25
21.200,1.50495E-4,546,0.13
21.250,1.50495E-4,546,0.13
21.300,1.50495E-4,547,0.25
21.350,1.51130E-4,547,0.25
21.400,1.51130E-4,548,0.13
21.450,1.51130E-4,549,0.13
21.500,1.51130E-4,550,0.25
21.550,1.51765E-4,551,0.25
21.600,1.51765E-4,551,0.13
21.650,1.51765E-4,552,0.00
21.700,1.51765E-4,553,0.13
21.750,1.51765E-4,553,0.25
21.800,1.52400E-4,553,0.25
21.850,1.52400E-4,554,0.13
21.900,1.52400E-4,554,0.00
21.950,1.52400E-4,555,0.13
22.000,1.52400E-4,556,0.25
22.050,1.53035E-4,556,0.25
22.100,1.53035E-4,556,0.13
22.150,1.53035E-4,557,0.00
22.200,1.53035E-4,558,0.00
22.250,1.53035E-4,558,0.00
22.300,1.53035E-4,558,0.00
22.350,1.53035E-4,558,0.13
22.400,1.53035E-4,559,0.25
22.450,1.53670E-4,559,0.25
22.500,1.53670E-4,559,0.13
22.550,1.53670E-4,560,0.00
22.600,1.53670E-4,561,0.00
22.650,1.53670E-4,561,0.00
22.700,1.53670E-4,560,0.00
22.750,1.53670E-4,561,0.00
22.800,1.53670E-4,561,0.00
22.850,1.53670E-4,561,0.00
